,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
0,AREA # 01101,Iquique,"CR+PC/LWAL/H:1,3",3122.1000000000004,624.4,320000.0,2.5,2,80
1,AREA # 01101,Iquique,"CR/LWAL/DNO/H:1,3",4319.05,1079.8,256000.0,2.0,2,80
2,AREA # 01101,Iquique,"CR/LWAL/DNO/H:4,7",1884.4999999999998,125.6,960000.0,5.0,3,80
3,AREA # 01101,Iquique,"CR/LWAL/DUC/H:1,3",740.3499999999999,185.1,308000.0,2.0,2,70
4,AREA # 01101,Iquique,"CR/LWAL/DUC/H:4,7",1332.6,88.8,1155000.0,5.0,3,70
5,AREA # 01101,Iquique,"CR/LWAL/DUC/H:8,19",1034.4,21.6,3696000.0,12.0,4,70
6,AREA # 01101,Iquique,ER+ETR/H:1,14.200000000000001,14.2,35000.0,1.0,1,70
7,AREA # 01101,Iquique,"ER+ETR/H:1,2",5.6,4.5,43750.0,1.25,1,70
8,AREA # 01101,Iquique,MCF/DNO/H:1,750.5,750.5,35000.0,1.0,1,70
9,AREA # 01101,Iquique,"MCF/DNO/H:1,3",7685.1,5123.4,84000.0,1.5,1,70
10,AREA # 01101,Iquique,"MCF/DUC/H:1,3",5087.35,1271.8,256000.0,2.0,2,80
11,AREA # 01101,Iquique,"MR/DNO/H:1,3",6073.750000000001,1214.8,320000.0,2.5,2,80
12,AREA # 01101,Iquique,"MR/DUC/H:1,3",1733.1400000000003,346.6,385000.0,2.5,2,70
13,AREA # 01101,Iquique,MUR+ADO/H:1,4.6000000000000005,4.6,35000.0,1.0,1,70
14,AREA # 01101,Iquique,"MUR+ADO/H:1,2",22.4,17.9,43750.0,1.25,1,70
15,AREA # 01101,Iquique,"MUR+STDRE/H:1,2",404.74,323.8,43750.0,1.25,1,70
16,AREA # 01101,Iquique,"MUR/H:1,3",2136.42,1424.3,52500.0,1.5,1,70
17,AREA # 01101,Iquique,UNK,1331.9,1331.9,35000.0,1.0,1,70
18,AREA # 01101,Iquique,W+WLI/H:1,2929.8000000000006,2929.8,64000.0,1.0,1,80
19,AREA # 01101,Iquique,"W+WLI/H:1,3",7332.800000000002,4888.5,96000.0,1.5,1,80
20,AREA # 01101,Iquique,W+WS/H:1,1162.4999999999998,1162.5,35000.0,1.0,1,70
21,AREA # 01101,Iquique,"W+WS/H:1,2",1993.2000000000003,1594.6,43750.0,1.25,1,70
22,AREA # 01105,Pica,"CR+PC/LWAL/H:1,3",46.2,9.2,320000.0,2.5,2,80
23,AREA # 01105,Pica,"CR/LWAL/DNO/H:1,3",75.0,18.8,256000.0,2.0,2,80
24,AREA # 01105,Pica,"CR/LWAL/DNO/H:4,7",2.0999999999999996,0.1,960000.0,5.0,3,80
25,AREA # 01105,Pica,"CR/LWAL/DUC/H:1,3",8.299999999999999,2.1,308000.0,2.0,2,70
26,AREA # 01105,Pica,ER+ETR/H:1,2.3,2.3,35000.0,1.0,1,70
27,AREA # 01105,Pica,"ER+ETR/H:1,2",27.8,22.2,43750.0,1.25,1,70
28,AREA # 01105,Pica,MCF/DNO/H:1,1.95,1.9,35000.0,1.0,1,70
29,AREA # 01105,Pica,"MCF/DNO/H:1,3",81.55000000000001,54.4,84000.0,1.5,1,70
30,AREA # 01105,Pica,"MCF/DUC/H:1,3",55.4,13.8,256000.0,2.0,2,80
31,AREA # 01105,Pica,"MR/DNO/H:1,3",64.75,12.9,320000.0,2.5,2,80
32,AREA # 01105,Pica,"MR/DUC/H:1,3",13.450000000000001,2.7,385000.0,2.5,2,70
33,AREA # 01105,Pica,MUR+ADO/H:1,3.6999999999999997,3.7,35000.0,1.0,1,70
34,AREA # 01105,Pica,"MUR+ADO/H:1,2",111.2,89.0,43750.0,1.25,1,70
35,AREA # 01105,Pica,"MUR+STDRE/H:1,2",6.1,4.9,43750.0,1.25,1,70
36,AREA # 01105,Pica,"MUR/H:1,3",16.2,10.8,52500.0,1.5,1,70
